"","Nível Territorial (Código)","Nível Territorial","Unidade de Medida (Código)","Unidade de Medida","Valor","Unidade da Federação (Código)","Unidade da Federação","Ano (Código)","Ano","Variável (Código)","Variável","Sexo (Código)","Sexo","Idade (Código)","Idade","Forma de declaração da idade (Código)","Forma de declaração da idade"
"80","3","Unidade da Federação","45","Pessoas",23243,"11","Rondônia","2022","2022","93","População residente","6794","Total","6567","10 anos","113635","Total"
"81","3","Unidade da Federação","45","Pessoas",19134,"11","Rondônia","2022","2022","93","População residente","6794","Total","6567","10 anos","6555","Data de nascimento"
"82","3","Unidade da Federação","45","Pessoas",4109,"11","Rondônia","2022","2022","93","População residente","6794","Total","6567","10 anos","6556","Idade presumida"
"83","3","Unidade da Federação","45","Pessoas",23070,"11","Rondônia","2022","2022","93","População residente","6794","Total","6568","11 anos","113635","Total"
"84","3","Unidade da Federação","45","Pessoas",19002,"11","Rondônia","2022","2022","93","População residente","6794","Total","6568","11 anos","6555","Data de nascimento"
"85","3","Unidade da Federação","45","Pessoas",4068,"11","Rondônia","2022","2022","93","População residente","6794","Total","6568","11 anos","6556","Idade presumida"
"86","3","Unidade da Federação","45","Pessoas",23528,"11","Rondônia","2022","2022","93","População residente","6794","Total","6569","12 anos","113635","Total"
"87","3","Unidade da Federação","45","Pessoas",19120,"11","Rondônia","2022","2022","93","População residente","6794","Total","6569","12 anos","6555","Data de nascimento"
"88","3","Unidade da Federação","45","Pessoas",4408,"11","Rondônia","2022","2022","93","População residente","6794","Total","6569","12 anos","6556","Idade presumida"
"89","3","Unidade da Federação","45","Pessoas",23738,"11","Rondônia","2022","2022","93","População residente","6794","Total","6570","13 anos","113635","Total"
"90","3","Unidade da Federação","45","Pessoas",19249,"11","Rondônia","2022","2022","93","População residente","6794","Total","6570","13 anos","6555","Data de nascimento"
"91","3","Unidade da Federação","45","Pessoas",4489,"11","Rondônia","2022","2022","93","População residente","6794","Total","6570","13 anos","6556","Idade presumida"
"92","3","Unidade da Federação","45","Pessoas",23587,"11","Rondônia","2022","2022","93","População residente","6794","Total","6571","14 anos","113635","Total"
"93","3","Unidade da Federação","45","Pessoas",18953,"11","Rondônia","2022","2022","93","População residente","6794","Total","6571","14 anos","6555","Data de nascimento"
"94","3","Unidade da Federação","45","Pessoas",4634,"11","Rondônia","2022","2022","93","População residente","6794","Total","6571","14 anos","6556","Idade presumida"
"95","3","Unidade da Federação","45","Pessoas",122058,"11","Rondônia","2022","2022","93","População residente","6794","Total","93086","15 a 19 anos","113635","Total"
"96","3","Unidade da Federação","45","Pessoas",97769,"11","Rondônia","2022","2022","93","População residente","6794","Total","93086","15 a 19 anos","6555","Data de nascimento"
"97","3","Unidade da Federação","45","Pessoas",24289,"11","Rondônia","2022","2022","93","População residente","6794","Total","93086","15 a 19 anos","6556","Idade presumida"
"98","3","Unidade da Federação","45","Pessoas",24426,"11","Rondônia","2022","2022","93","População residente","6794","Total","6572","15 anos","113635","Total"
"99","3","Unidade da Federação","45","Pessoas",19592,"11","Rondônia","2022","2022","93","População residente","6794","Total","6572","15 anos","6555","Data de nascimento"
"100","3","Unidade da Federação","45","Pessoas",4834,"11","Rondônia","2022","2022","93","População residente","6794","Total","6572","15 anos","6556","Idade presumida"
"101","3","Unidade da Federação","45","Pessoas",24659,"11","Rondônia","2022","2022","93","População residente","6794","Total","6573","16 anos","113635","Total"
"102","3","Unidade da Federação","45","Pessoas",19741,"11","Rondônia","2022","2022","93","População residente","6794","Total","6573","16 anos","6555","Data de nascimento"
"103","3","Unidade da Federação","45","Pessoas",4918,"11","Rondônia","2022","2022","93","População residente","6794","Total","6573","16 anos","6556","Idade presumida"
"104","3","Unidade da Federação","45","Pessoas",24952,"11","Rondônia","2022","2022","93","População residente","6794","Total","6574","17 anos","113635","Total"
"105","3","Unidade da Federação","45","Pessoas",20049,"11","Rondônia","2022","2022","93","População residente","6794","Total","6574","17 anos","6555","Data de nascimento"
"106","3","Unidade da Federação","45","Pessoas",4903,"11","Rondônia","2022","2022","93","População residente","6794","Total","6574","17 anos","6556","Idade presumida"
"107","3","Unidade da Federação","45","Pessoas",24571,"11","Rondônia","2022","2022","93","População residente","6794","Total","6575","18 anos","113635","Total"
"108","3","Unidade da Federação","45","Pessoas",19386,"11","Rondônia","2022","2022","93","População residente","6794","Total","6575","18 anos","6555","Data de nascimento"
"109","3","Unidade da Federação","45","Pessoas",5185,"11","Rondônia","2022","2022","93","População residente","6794","Total","6575","18 anos","6556","Idade presumida"
"110","3","Unidade da Federação","45","Pessoas",23450,"11","Rondônia","2022","2022","93","População residente","6794","Total","6576","19 anos","113635","Total"
"111","3","Unidade da Federação","45","Pessoas",19001,"11","Rondônia","2022","2022","93","População residente","6794","Total","6576","19 anos","6555","Data de nascimento"
"112","3","Unidade da Federação","45","Pessoas",4449,"11","Rondônia","2022","2022","93","População residente","6794","Total","6576","19 anos","6556","Idade presumida"
"113","3","Unidade da Federação","45","Pessoas",124515,"11","Rondônia","2022","2022","93","População residente","6794","Total","93087","20 a 24 anos","113635","Total"
"114","3","Unidade da Federação","45","Pessoas",100818,"11","Rondônia","2022","2022","93","População residente","6794","Total","93087","20 a 24 anos","6555","Data de nascimento"
"115","3","Unidade da Federação","45","Pessoas",23697,"11","Rondônia","2022","2022","93","População residente","6794","Total","93087","20 a 24 anos","6556","Idade presumida"
"116","3","Unidade da Federação","45","Pessoas",24591,"11","Rondônia","2022","2022","93","População residente","6794","Total","6577","20 anos","113635","Total"
"117","3","Unidade da Federação","45","Pessoas",19848,"11","Rondônia","2022","2022","93","População residente","6794","Total","6577","20 anos","6555","Data de nascimento"
"118","3","Unidade da Federação","45","Pessoas",4743,"11","Rondônia","2022","2022","93","População residente","6794","Total","6577","20 anos","6556","Idade presumida"
"119","3","Unidade da Federação","45","Pessoas",24637,"11","Rondônia","2022","2022","93","População residente","6794","Total","6578","21 anos","113635","Total"
"120","3","Unidade da Federação","45","Pessoas",20460,"11","Rondônia","2022","2022","93","População residente","6794","Total","6578","21 anos","6555","Data de nascimento"
"121","3","Unidade da Federação","45","Pessoas",4177,"11","Rondônia","2022","2022","93","População residente","6794","Total","6578","21 anos","6556","Idade presumida"
"122","3","Unidade da Federação","45","Pessoas",26270,"11","Rondônia","2022","2022","93","População residente","6794","Total","6579","22 anos","113635","Total"
"123","3","Unidade da Federação","45","Pessoas",21090,"11","Rondônia","2022","2022","93","População residente","6794","Total","6579","22 anos","6555","Data de nascimento"
"124","3","Unidade da Federação","45","Pessoas",5180,"11","Rondônia","2022","2022","93","População residente","6794","Total","6579","22 anos","6556","Idade presumida"
"125","3","Unidade da Federação","45","Pessoas",24718,"11","Rondônia","2022","2022","93","População residente","6794","Total","6580","23 anos","113635","Total"
"126","3","Unidade da Federação","45","Pessoas",19779,"11","Rondônia","2022","2022","93","População residente","6794","Total","6580","23 anos","6555","Data de nascimento"
"127","3","Unidade da Federação","45","Pessoas",4939,"11","Rondônia","2022","2022","93","População residente","6794","Total","6580","23 anos","6556","Idade presumida"
"128","3","Unidade da Federação","45","Pessoas",24299,"11","Rondônia","2022","2022","93","População residente","6794","Total","6581","24 anos","113635","Total"
"129","3","Unidade da Federação","45","Pessoas",19641,"11","Rondônia","2022","2022","93","População residente","6794","Total","6581","24 anos","6555","Data de nascimento"
"130","3","Unidade da Federação","45","Pessoas",4658,"11","Rondônia","2022","2022","93","População residente","6794","Total","6581","24 anos","6556","Idade presumida"
"131","3","Unidade da Federação","45","Pessoas",126056,"11","Rondônia","2022","2022","93","População residente","6794","Total","93088","25 a 29 anos","113635","Total"
"132","3","Unidade da Federação","45","Pessoas",103586,"11","Rondônia","2022","2022","93","População residente","6794","Total","93088","25 a 29 anos","6555","Data de nascimento"
"133","3","Unidade da Federação","45","Pessoas",22470,"11","Rondônia","2022","2022","93","População residente","6794","Total","93088","25 a 29 anos","6556","Idade presumida"
"134","3","Unidade da Federação","45","Pessoas",25442,"11","Rondônia","2022","2022","93","População residente","6794","Total","6582","25 anos","113635","Total"
"135","3","Unidade da Federação","45","Pessoas",20428,"11","Rondônia","2022","2022","93","População residente","6794","Total","6582","25 anos","6555","Data de nascimento"
"136","3","Unidade da Federação","45","Pessoas",5014,"11","Rondônia","2022","2022","93","População residente","6794","Total","6582","25 anos","6556","Idade presumida"
"137","3","Unidade da Federação","45","Pessoas",25398,"11","Rondônia","2022","2022","93","População residente","6794","Total","6656","26 anos","113635","Total"
"138","3","Unidade da Federação","45","Pessoas",20639,"11","Rondônia","2022","2022","93","População residente","6794","Total","6656","26 anos","6555","Data de nascimento"
"139","3","Unidade da Federação","45","Pessoas",4759,"11","Rondônia","2022","2022","93","População residente","6794","Total","6656","26 anos","6556","Idade presumida"
"140","3","Unidade da Federação","45","Pessoas",25584,"11","Rondônia","2022","2022","93","População residente","6794","Total","6657","27 anos","113635","Total"
"141","3","Unidade da Federação","45","Pessoas",21293,"11","Rondônia","2022","2022","93","População residente","6794","Total","6657","27 anos","6555","Data de nascimento"
"142","3","Unidade da Federação","45","Pessoas",4291,"11","Rondônia","2022","2022","93","População residente","6794","Total","6657","27 anos","6556","Idade presumida"
"143","3","Unidade da Federação","45","Pessoas",25580,"11","Rondônia","2022","2022","93","População residente","6794","Total","6658","28 anos","113635","Total"
"144","3","Unidade da Federação","45","Pessoas",20997,"11","Rondônia","2022","2022","93","População residente","6794","Total","6658","28 anos","6555","Data de nascimento"
"145","3","Unidade da Federação","45","Pessoas",4583,"11","Rondônia","2022","2022","93","População residente","6794","Total","6658","28 anos","6556","Idade presumida"
"146","3","Unidade da Federação","45","Pessoas",24052,"11","Rondônia","2022","2022","93","População residente","6794","Total","6659","29 anos","113635","Total"
"147","3","Unidade da Federação","45","Pessoas",20229,"11","Rondônia","2022","2022","93","População residente","6794","Total","6659","29 anos","6555","Data de nascimento"
"148","3","Unidade da Federação","45","Pessoas",3823,"11","Rondônia","2022","2022","93","População residente","6794","Total","6659","29 anos","6556","Idade presumida"
"149","3","Unidade da Federação","45","Pessoas",125234,"11","Rondônia","2022","2022","93","População residente","6794","Total","93089","30 a 34 anos","113635","Total"
"150","3","Unidade da Federação","45","Pessoas",102399,"11","Rondônia","2022","2022","93","População residente","6794","Total","93089","30 a 34 anos","6555","Data de nascimento"
"151","3","Unidade da Federação","45","Pessoas",22835,"11","Rondônia","2022","2022","93","População residente","6794","Total","93089","30 a 34 anos","6556","Idade presumida"
"152","3","Unidade da Federação","45","Pessoas",26297,"11","Rondônia","2022","2022","93","População residente","6794","Total","6583","30 anos","113635","Total"
"153","3","Unidade da Federação","45","Pessoas",20422,"11","Rondônia","2022","2022","93","População residente","6794","Total","6583","30 anos","6555","Data de nascimento"
"154","3","Unidade da Federação","45","Pessoas",5875,"11","Rondônia","2022","2022","93","População residente","6794","Total","6583","30 anos","6556","Idade presumida"
"155","3","Unidade da Federação","45","Pessoas",23238,"11","Rondônia","2022","2022","93","População residente","6794","Total","6584","31 anos","113635","Total"
"156","3","Unidade da Federação","45","Pessoas",19870,"11","Rondônia","2022","2022","93","População residente","6794","Total","6584","31 anos","6555","Data de nascimento"
"157","3","Unidade da Federação","45","Pessoas",3368,"11","Rondônia","2022","2022","93","População residente","6794","Total","6584","31 anos","6556","Idade presumida"
"158","3","Unidade da Federação","45","Pessoas",25470,"11","Rondônia","2022","2022","93","População residente","6794","Total","6585","32 anos","113635","Total"
"159","3","Unidade da Federação","45","Pessoas",20603,"11","Rondônia","2022","2022","93","População residente","6794","Total","6585","32 anos","6555","Data de nascimento"
"160","3","Unidade da Federação","45","Pessoas",4867,"11","Rondônia","2022","2022","93","População residente","6794","Total","6585","32 anos","6556","Idade presumida"
"161","3","Unidade da Federação","45","Pessoas",25297,"11","Rondônia","2022","2022","93","População residente","6794","Total","6586","33 anos","113635","Total"
"162","3","Unidade da Federação","45","Pessoas",20804,"11","Rondônia","2022","2022","93","População residente","6794","Total","6586","33 anos","6555","Data de nascimento"
"163","3","Unidade da Federação","45","Pessoas",4493,"11","Rondônia","2022","2022","93","População residente","6794","Total","6586","33 anos","6556","Idade presumida"
