"code_muni";"dom_resp_h_branca";"dom_resp_h_preta";"dom_resp_h_amarela";"dom_resp_h_parda";"dom_resp_h_indigena";"dom_resp_m_branca";"dom_resp_m_preta";"dom_resp_m_amarela";"dom_resp_m_parda";"dom_resp_m_indigena"
"2704302";50028;23165;377;84663;463;54635;21899;620;99761;493
"2704401";897;271;1;1993;3;686;240;2;1793;1
"2704500";1148;768;10;3135;11;1109;717;10;3189;4
"2704609";412;149;3;1000;1;391;124;5;1121;NA
"2704708";2569;1544;27;5503;34;2394;1438;50;6051;23
"2704807";664;239;4;1137;1;742;272;2;1375;1
"2704906";214;74;1;381;NA;120;39;NA;233;NA
"2705002";902;300;2;2447;48;782;224;7;2295;52
"2705101";692;572;3;2175;43;820;515;8;2464;56
"2705200";573;395;1;1408;3;650;446;5;1522;5
"2705309";325;54;NA;648;1;158;30;NA;406;NA
"2705408";182;183;1;732;NA;163;178;NA;772;NA
"2705507";813;488;8;1750;6;1099;642;14;2900;7
"2705606";451;168;12;1035;6;374;133;11;1046;8
"2705705";778;396;8;2008;4;707;315;8;2567;6
"2705804";255;137;2;787;5;250;157;1;1002;6
"2705903";207;69;2;585;1;134;34;5;341;NA
"2706000";434;145;3;1482;1;311;96;NA;1102;1
"2706109";606;140;1;1327;2;517;91;NA;1286;NA
"2706208";113;180;NA;427;NA;87;133;NA;386;1
"2706307";3283;964;6;6487;439;3742;944;16;8064;512
"2706406";525;482;5;2507;14;548;477;3;2995;14
"2706422";195;44;1;488;485;241;96;1;901;811
"2706448";554;329;2;1335;11;488;267;10;1380;12
"2706505";444;364;1;1375;11;410;301;5;1314;8
"2706604";318;88;1;574;2;422;103;3;777;3
"2706703";2209;1411;16;5813;28;2164;1406;28;6511;36
"2706802";545;330;2;1424;4;643;349;1;1950;5
"2706901";1323;851;14;3057;9;1426;912;27;3967;6
"2707008";125;69;NA;236;NA;124;75;NA;207;NA
"2707107";707;428;5;2201;21;678;377;4;2591;14
"2707206";465;151;NA;1369;4;393;152;NA;1521;NA
"2707305";863;599;8;2208;NA;894;554;12;2498;2
"2707404";260;201;2;1051;1;214;148;10;943;4
"2707503";804;299;1;2058;304;582;270;1;1837;371
"2707602";446;169;2;867;8;603;200;1;1386;3
"2707701";3588;2219;28;8372;21;4118;2151;51;10666;24
"2707800";180;109;1;578;1;254;93;NA;773;NA
"2707909";174;188;1;548;2;238;187;1;842;4
"2708006";2148;622;13;4494;29;2066;517;16;5162;45
"2708105";657;236;1;1409;4;433;132;4;939;NA
"2708204";224;111;1;794;10;185;100;NA;696;8
"2708303";1094;493;4;1876;5;988;379;14;1961;10
"2708402";760;369;3;3438;12;677;336;4;3924;15
"2708501";1057;753;7;2804;7;1042;652;11;2967;2
"2708600";1874;1225;24;4497;25;2109;1388;53;5729;29
"2708709";284;240;4;736;6;298;227;3;884;3
"2708808";2036;467;7;3392;226;1435;333;4;2534;99
"2708907";953;597;5;2184;9;997;541;15;2573;5
"2708956";461;190;NA;1390;6;302;175;NA;1164;1
"2709004";329;104;2;675;4;262;112;2;576;NA
"2709103";1011;320;6;2266;10;702;235;3;1958;10
"2709152";1400;884;15;3429;16;1386;899;28;4283;23
"2709202";800;374;3;2556;28;708;269;6;2617;5
"2709301";2599;1268;24;5267;17;2952;1400;39;6410;16
"2709400";957;373;1;2387;2;1097;402;2;2728;3
"2800100";57;98;1;181;NA;72;95;1;239;NA
"2800209";1001;430;5;2197;3;959;390;6;2429;4
"2800308";29114;16974;238;55057;409;31239;18486;309;66521;490
"2800407";299;324;1;1045;NA;245;359;2;1358;2
"2800506";550;558;NA;1859;5;500;586;3;2087;7
"2800605";1458;1296;11;3982;23;1523;1469;3;4748;21
"2800670";904;659;NA;3034;6;745;527;8;2982;7
"2800704";222;336;1;619;2;171;377;4;744;NA
"2801009";962;460;NA;2040;2;878;328;3;2121;2
"2801108";167;66;1;462;NA;113;74;NA;386;NA
"2801207";857;402;9;2304;10;1083;488;8;3555;11
"2801306";922;882;3;3045;9;951;1030;3;4024;4
"2801405";1017;254;3;2278;6;1064;248;4;2533;3
"2801504";425;408;3;1178;1;414;575;3;1681;3
"2801603";318;69;1;493;NA;386;62;NA;604;NA
"2801702";415;402;2;1788;2;344;394;3;2435;NA
"2801900";167;81;1;416;8;153;98;NA;441;7
"2802007";95;206;NA;303;NA;93;264;1;490;1
"2802106";1889;2058;12;6645;34;1954;2340;20;8241;34
"2802205";246;112;NA;758;2;211;81;NA;710;2
"2802304";597;311;3;1628;NA;506;253;1;1769;1
"2802403";626;249;2;1498;3;333;173;1;1079;3
"2802502";95;134;1;339;NA;73;124;NA;346;NA
"2802601";296;60;NA;617;NA;302;85;NA;757;3
"2802700";266;186;NA;704;1;314;241;NA;1055;2
"2802809";319;586;7;1769;12;225;599;6;1736;9
"2802908";5699;1822;27;9820;35;6243;1683;29;12511;23
"2803005";1552;746;2;4385;6;1435;641;6;4563;4
"2803104";276;58;NA;601;1;230;68;1;598;2
"2803203";898;1165;4;3738;17;772;1177;7;4413;9
"2803302";458;521;2;1752;5;407;548;1;1989;4
"2803401";495;400;2;1479;4;434;382;11;1368;3
"2803500";4579;2083;9;11006;31;4516;2046;14;12445;25
"2803609";352;953;3;1967;2;389;1270;4;2884;9
"2803708";229;96;NA;733;NA;267;141;1;1045;1
"2803807";136;99;NA;311;2;120;101;2;426;2
"2803906";374;236;3;1147;4;436;298;5;1675;2
"2804003";434;617;1;1279;7;440;711;9;1743;11
"2804102";703;152;1;1373;NA;563;137;3;1271;1
"2804201";700;181;3;1459;NA;657;161;7;1656;NA
"2804300";237;150;NA;774;1;289;236;2;1088;NA
"2804409";481;412;1;1828;5;451;439;3;2104;7
"2804458";562;97;NA;1022;NA;546;73;1;1076;3
"2804508";2205;494;5;4185;10;2189;481;4;4741;4
"2804607";1120;432;15;2546;13;1300;450;8;3244;6
"2804706";309;118;1;705;2;301;93;2;710;7
"2804805";5652;6350;42;17759;122;6610;7263;87;23135;101
"2804904";369;288;NA;1306;1;339;300;3;1585;1
"2805000";57;61;NA;304;NA;36;58;NA;441;NA
"2805109";208;197;NA;783;1;250;229;2;1011;4
"2805208";117;72;NA;662;1;143;87;1;949;NA
"2805307";219;229;1;797;1;250;251;4;890;1
"2805406";1304;560;7;3498;3;1066;505;12;3817;5
"2805505";1096;364;2;2523;3;1128;271;5;2823;4
"2805604";1740;441;NA;2495;75;1542;391;8;2445;50
"2805703";1219;611;18;2709;24;1121;547;14;2908;19
"2805802";503;406;5;2252;NA;475;361;NA;2276;NA
"2805901";149;277;3;774;3;179;443;2;990;2
"2806008";1093;154;3;1891;3;1211;154;3;2013;9
"2806107";195;347;2;677;2;254;514;2;1163;2
"2806206";828;622;9;2371;9;639;437;10;2409;2
"2806305";291;476;7;1344;3;226;559;5;1605;3
"2806404";193;186;NA;846;1;147;145;NA;845;5
"2806503";108;161;NA;348;4;113;179;NA;453;3
"2806602";223;333;2;891;3;325;487;7;1525;3
"2806701";3329;3439;25;9357;61;3292;3247;39;10506;44
"2806800";356;185;2;1254;1;351;184;2;1519;1
"2806909";114;69;NA;304;5;121;74;NA;453;2
"2807006";182;55;NA;413;NA;152;71;NA;412;NA
"2807105";1941;890;7;4859;9;1817;790;15;5197;13
"2807204";226;284;2;822;11;184;271;4;898;8
